"","Tm","BA","OBP","SLG","OPS","BAbip","HR%","SO%","BB%","LD%","GB%","FB%","GB/FB","WPA","cWPA","RE24","Year","EV","HardH%"
"166","Chicago White Sox",".249",".310",".397",".707",".278","2.7%","16.8%","7.4%","16.7%","43.4%","28.8%","0.80","17.5","7.2%","139.5",2005,NA,NA
"167","Cincinnati Reds",".290",".352",".483",".835",".313","3.4%","14.9%","7.7%","19.8%","40.6%","28.4%","0.72","-13.5","-2.8%","-165.0",2005,NA,NA
"168","Cleveland Indians",".247",".302",".387",".689",".277","2.6%","17.4%","6.8%","18.4%","44.2%","27.6%","0.82","10.9","11.0%","103.7",2005,NA,NA
"169","Colorado Rockies",".287",".362",".457",".819",".319","2.7%","15.4%","9.5%","20.1%","42.9%","27.3%","0.79","-8.5","-3.0%","-101.8",2005,NA,NA
"170","Detroit Tigers",".272",".330",".436",".767",".292","3.1%","14.8%","7.5%","16.9%","45.9%","27.8%","0.88","-3.7","-0.9%","-43.5",2005,NA,NA
"171","Florida Marlins",".266",".339",".402",".741",".313","1.9%","18.0%","9.0%","18.2%","43.9%","25.6%","0.83","2.7","1.4%","-23.8",2005,NA,NA
"172","Houston Astros",".246",".308",".389",".697",".285","2.6%","19.3%","7.3%","17.9%","45.8%","26.7%","0.88","15.5","13.4%","127.9",2005,NA,NA
"173","Kansas City Royals",".291",".362",".463",".825",".319","2.8%","14.5%","9.1%","19.3%","43.7%","26.7%","0.80","-17.6","-1.7%","-196.7",2005,NA,NA
"174","Los Angeles Angels of Anaheim",".254",".312",".401",".713",".290","2.6%","18.3%","7.2%","16.5%","40.3%","32.2%","0.70","12.7","12.5%","118.1",2005,NA,NA
"175","Los Angeles Dodgers",".263",".327",".429",".756",".291","3.0%","16.4%","7.7%","16.6%","45.0%","28.2%","0.87","-5.8","-4.1%","-38.2",2005,NA,NA
"176","Milwaukee Brewers",".251",".324",".408",".733",".289","2.7%","18.9%","9.2%","18.8%","41.0%","29.1%","0.73","1.0","0.0%","26.0",2005,NA,NA
"177","Minnesota Twins",".261",".307",".408",".715",".287","2.8%","15.9%","5.7%","16.4%","44.6%","28.1%","0.84","10.0","5.0%","112.9",2005,NA,NA
"178","New York Mets",".255",".321",".387",".708",".289","2.2%","16.5%","8.0%","17.5%","43.9%","27.8%","0.83","2.8","0.3%","65.5",2005,NA,NA
"179","New York Yankees",".269",".332",".422",".754",".299","2.7%","15.9%","7.5%","17.1%","46.3%","27.6%","0.88","-1.0","3.2%","-43.8",2005,NA,NA
"180","Oakland Athletics",".241",".311",".382",".693",".273","2.5%","17.7%","8.3%","19.4%","43.5%","26.7%","0.79","8.2","8.4%","102.2",2005,NA,NA
"181","Philadelphia Phillies",".253",".320",".426",".746",".287","3.1%","18.9%","8.0%","20.2%","43.0%","25.8%","0.79","5.5","2.9%","17.0",2005,NA,NA
"182","Pittsburgh Pirates",".267",".344",".424",".769",".294","2.6%","15.3%","9.8%","18.6%","42.9%","28.0%","0.79","-4.9","0.1%","-47.3",2005,NA,NA
"183","San Diego Padres",".259",".322",".408",".731",".298","2.3%","18.1%","8.0%","18.8%","42.3%","28.3%","0.76","3.2","0.7%","-21.2",2005,NA,NA
"184","Seattle Mariners",".268",".332",".422",".754",".289","2.9%","14.5%","8.0%","18.5%","41.0%","30.1%","0.72","-5.3","-1.8%","-20.6",2005,NA,NA
"185","San Francisco Giants",".263",".336",".412",".748",".293","2.4%","15.5%","9.4%","19.4%","41.1%","28.0%","0.73","-1.0","-3.6%","-9.0",2005,NA,NA
"186","St. Louis Cardinals",".257",".318",".398",".716",".286","2.5%","16.1%","7.3%","18.2%","49.8%","23.7%","1.05","12.4","6.4%","102.2",2005,NA,NA
"187","Tampa Bay Devil Rays",".280",".355",".455",".810",".305","3.0%","14.9%","9.6%","19.4%","37.9%","31.5%","0.63","-14.7","-2.5%","-197.3",2005,NA,NA
"188","Texas Rangers",".279",".343",".428",".772",".307","2.5%","14.6%","8.2%","19.4%","45.1%","26.2%","0.85","-6.4","-3.7%","-81.4",2005,NA,NA
"189","Toronto Blue Jays",".264",".324",".418",".742",".288","3.0%","15.5%","7.2%","17.8%","45.4%","26.6%","0.86","4.7","2.7%","61.1",2005,NA,NA
"190","Washington Nationals",".262",".333",".396",".729",".295","2.2%","15.9%","8.6%","18.9%","39.6%","29.1%","0.69","9.2","8.1%","45.3",2005,NA,NA
"191","League Average",".264",".330",".419",".749",".295","2.7%","16.5%","8.2%","18.4%","43.5%","27.8%","0.80","","","",2005,NA,NA
"192","",".264",".330",".419",".749",".295","2.7%","16.5%","8.2%","18.4%","43.5%","27.8%","0.80","","","",2005,NA,NA
"193","Arizona Diamondbacks",".267",".335",".431",".767",".304","2.7%","17.6%","8.5%","18.8%","45.9%","25.9%","0.89","3.1","0.8%","16.3",2006,NA,NA
"194","Atlanta Braves",".273",".343",".438",".781",".304","2.9%","16.5%","9.0%","19.6%","44.0%","27.3%","0.82","-5.8","-3.5%","-31.7",2006,NA,NA
"195","Baltimore Orioles",".284",".357",".462",".819",".311","3.4%","16.1%","9.7%","19.7%","42.0%","29.9%","0.75","-8.6","-2.2%","-120.3",2006,NA,NA
"196","Boston Red Sox",".279",".343",".447",".789",".313","2.9%","17.0%","8.1%","18.9%","43.7%","28.0%","0.80","0.7","-2.9%","-12.0",2006,NA,NA
"197","Chicago Cubs",".255",".342",".431",".774",".291","3.3%","19.6%","10.8%","18.3%","41.2%","29.4%","0.74","-6.7","-0.3%","-47.0",2006,NA,NA
"198","Chicago White Sox",".271",".326",".440",".766",".296","3.2%","16.2%","7.0%","16.9%","42.7%","30.0%","0.77","2.8","1.1%","20.3",2006,NA,NA
"199","Cincinnati Reds",".278",".337",".457",".794",".307","3.4%","16.7%","7.3%","20.5%","41.0%","27.8%","0.73","-1.2","-2.8%","-8.9",2006,NA,NA
"200","Cleveland Indians",".282",".335",".431",".766",".311","2.7%","15.3%","6.9%","18.5%","44.7%","27.5%","0.83","-6.7","-2.9%","-1.6",2006,NA,NA
"201","Colorado Rockies",".277",".346",".438",".785",".307","2.5%","15.1%","8.8%","19.0%","45.0%","27.5%","0.85","1.3","4.0%","3.8",2006,NA,NA
"202","Detroit Tigers",".257",".321",".405",".725",".286","2.6%","16.3%","8.0%","18.5%","45.5%","26.3%","0.86","13.4","9.1%","123.7",2006,NA,NA
"203","Florida Marlins",".267",".347",".423",".771",".304","2.6%","17.3%","9.9%","18.7%","41.9%","28.3%","0.75","-4.3","-3.1%","-18.6",2006,NA,NA
"204","Houston Astros",".256",".319",".421",".740",".291","2.9%","18.7%","7.7%","17.9%","44.4%","28.1%","0.84","8.2","4.7%","73.4",2006,NA,NA
"205","Kansas City Royals",".292",".367",".476",".843",".314","3.3%","14.1%","9.9%","20.4%","41.9%","29.4%","0.74","-16.7","-2.1%","-180.6",2006,NA,NA
"206","Los Angeles Angels of Anaheim",".254",".316",".402",".719",".294","2.6%","18.9%","7.7%","16.6%","41.9%","32.1%","0.74","10.9","4.5%","68.5",2006,NA,NA
"207","Los Angeles Dodgers",".269",".330",".418",".748",".307","2.4%","17.0%","7.8%","17.4%","47.3%","26.3%","0.94","6.8","8.1%","41.9",2006,NA,NA
"208","Milwaukee Brewers",".265",".333",".438",".771",".302","2.9%","18.4%","8.3%","18.7%","41.1%","28.1%","0.74","-4.6","-3.2%","-60.9",2006,NA,NA
"209","Minnesota Twins",".267",".312",".423",".735",".305","3.0%","19.2%","5.9%","17.3%","43.7%","29.7%","0.80","12.4","8.4%","103.3",2006,NA,NA
"210","New York Mets",".253",".323",".407",".730",".288","2.9%","18.6%","8.5%","17.9%","42.8%","29.0%","0.78","8.5","5.3%","49.2",2006,NA,NA
"211","New York Yankees",".262",".326",".413",".740",".291","2.7%","16.4%","8.0%","17.7%","43.2%","29.1%","0.78","3.6","2.6%","31.8",2006,NA,NA
"212","Oakland Athletics",".272",".338",".422",".759",".303","2.6%","16.0%","8.4%","19.1%","42.3%","28.3%","0.75","9.3","9.6%","60.9",2006,NA,NA
"213","Philadelphia Phillies",".275",".339",".460",".798",".308","3.3%","17.9%","8.0%","19.4%","42.7%","27.6%","0.78","-0.2","1.9%","-10.6",2006,NA,NA
"214","Pittsburgh Pirates",".281",".357",".431",".789",".320","2.5%","16.7%","9.8%","18.5%","44.1%","26.3%","0.85","-1.3","-1.2%","-28.8",2006,NA,NA
"215","San Diego Padres",".249",".312",".404",".716",".280","2.9%","17.8%","7.6%","18.6%","40.9%","29.1%","0.72","9.1","10.5%","80.1",2006,NA,NA
"216","Seattle Mariners",".267",".337",".432",".769",".299","2.9%","17.0%","8.9%","18.7%","43.1%","28.3%","0.78","3.5","0.9%","-8.5",2006,NA,NA
"217","San Francisco Giants",".261",".337",".415",".752",".291","2.5%","15.9%","9.4%","18.6%","41.2%","29.5%","0.73","-1.7","-1.7%","-17.5",2006,NA,NA
"218","St. Louis Cardinals",".268",".337",".443",".779",".294","3.1%","15.7%","8.1%","18.9%","45.7%","25.9%","0.88","0.9","3.7%","6.7",2006,NA,NA
"219","Tampa Bay Devil Rays",".286",".358",".452",".810",".315","2.8%","15.4%","9.5%","19.3%","41.9%","29.2%","0.74","-8.1","-2.3%","-79.1",2006,NA,NA
"220","Texas Rangers",".278",".341",".424",".766",".309","2.6%","15.6%","8.0%","18.8%","46.4%","26.8%","0.89","-2.1","-2.2%","9.2",2006,NA,NA
"221","Toronto Blue Jays",".262",".328",".422",".750",".293","3.0%","17.5%","8.2%","19.1%","45.9%","25.5%","0.88","3.3","-0.7%","35.6",2006,NA,NA
"222","Washington Nationals",".274",".349",".447",".796",".298","3.0%","14.9%","9.1%","19.7%","38.3%","29.5%","0.65","-12.7","-2.4%","-121.3",2006,NA,NA
"223","League Average",".269",".337",".432",".768",".301","2.9%","16.8%","8.4%","18.7%","43.2%","28.2%","0.79","","","",2006,NA,NA
"224","",".269",".337",".432",".768",".301","2.9%","16.8%","8.4%","18.7%","43.2%","28.2%","0.79","","","",2006,NA,NA
"225","Arizona Diamondbacks",".262",".334",".420",".753",".298","2.7%","17.5%","8.8%","19.2%","43.4%","28.3%","0.80","12.3","13.1%","52.2",2007,NA,NA
"226","Atlanta Braves",".259",".327",".415",".742",".293","2.8%","17.7%","8.6%","16.0%","44.3%","30.1%","0.83","1.8","-0.8%","22.9",2007,NA,NA
"227","Baltimore Orioles",".268",".354",".412",".766",".305","2.5%","16.9%","10.8%","18.7%","44.7%","28.5%","0.83","-6.6","-0.2%","-75.6",2007,NA,NA
"228","Boston Red Sox",".247",".314",".392",".705",".286","2.5%","18.9%","7.9%","18.8%","42.6%","28.6%","0.76","14.7","8.0%","154.9",2007,NA,NA
"229","Chicago Cubs",".246",".322",".399",".721",".286","2.7%","19.6%","9.3%","18.8%","40.8%","28.7%","0.72","7.6","6.9%","87.6",2007,NA,NA
"230","Chicago White Sox",".276",".338",".435",".773",".307","2.8%","16.1%","7.9%","19.4%","42.8%","27.6%","0.78","0.2","0.1%","-36.2",2007,NA,NA
"231","Cincinnati Reds",".282",".343",".456",".800",".315","3.1%","16.8%","7.6%","20.8%","39.6%","28.5%","0.68","-7.1","-1.2%","-78.8",2007,NA,NA
"232","Cleveland Indians",".268",".322",".407",".729",".304","2.4%","16.9%","6.6%","17.9%","45.4%","27.0%","0.86","13.1","11.6%","97.1",2007,NA,NA
"233","Colorado Rockies",".266",".330",".423",".753",".294","2.6%","15.4%","8.0%","19.9%","45.8%","25.1%","0.88","0.9","3.0%","42.1",2007,NA,NA
"234","Detroit Tigers",".266",".338",".427",".765",".297","2.7%","16.5%","8.9%","18.1%","44.7%","28.2%","0.83","2.4","0.9%","-0.7",2007,NA,NA
"235","Florida Marlins",".285",".364",".442",".806",".327","2.7%","17.5%","10.1%","20.1%","41.2%","28.1%","0.74","-12.9","-3.1%","-150.4",2007,NA,NA
"236","Houston Astros",".273",".337",".454",".791",".305","3.2%","17.3%","8.0%","17.9%","43.5%","28.6%","0.81","0.1","-0.3%","-40.0",2007,NA,NA
"237","Kansas City Royals",".277",".339",".445",".785",".307","2.7%","15.9%","8.3%","19.9%","40.9%","30.3%","0.71","-0.2","-1.1%","8.5",2007,NA,NA
"238","Los Angeles Angels of Anaheim",".266",".328",".412",".739",".309","2.5%","18.8%","7.7%","18.7%","42.1%","30.1%","0.75","8.7","6.2%","59.0",2007,NA,NA
"239","Los Angeles Dodgers",".261",".326",".399",".725",".306","2.4%","19.1%","8.4%","18.5%","44.7%","26.1%","0.86","6.0","5.4%","40.9",2007,NA,NA
"240","Milwaukee Brewers",".269",".333",".422",".754",".312","2.6%","18.7%","8.1%","19.6%","41.2%","28.7%","0.73","0.3","-3.0%","-16.7",2007,NA,NA
"241","Minnesota Twins",".269",".324",".431",".755",".304","3.0%","17.8%","6.9%","17.3%","42.9%","30.3%","0.77","6.4","3.3%","42.7",2007,NA,NA
"242","New York Mets",".255",".329",".409",".737",".291","2.6%","18.0%","9.1%","19.2%","40.8%","28.8%","0.72","1.8","-2.2%","5.7",2007,NA,NA
"243","New York Yankees",".268",".340",".417",".757",".301","2.4%","16.0%","9.2%","20.0%","42.5%","28.4%","0.76","1.7","2.7%","22.3",2007,NA,NA
"244","Oakland Athletics",".263",".329",".404",".733",".298","2.2%","16.6%","8.5%","19.5%","44.4%","26.7%","0.83","0.9","3.2%","8.6",2007,NA,NA
"245","Philadelphia Phillies",".276",".346",".451",".797",".306","3.1%","16.4%","8.7%","19.6%","43.0%","27.9%","0.79","-2.3","2.2%","-45.2",2007,NA,NA
"246","Pittsburgh Pirates",".288",".352",".447",".799",".320","2.7%","15.6%","8.1%","19.3%","43.3%","27.2%","0.80","-5.2","0.6%","-95.6",2007,NA,NA
"247","San Diego Padres",".250",".311",".374",".686",".291","1.9%","18.2%","7.6%","18.5%","45.0%","26.7%","0.86","10.5","1.5%","79.7",2007,NA,NA
"248","Seattle Mariners",".281",".349",".431",".780",".319","2.3%","16.2%","8.7%","19.5%","43.3%","26.8%","0.79","1.7","-1.2%","-44.0",2007,NA,NA
"249","San Francisco Giants",".261",".334",".405",".740",".298","2.1%","16.8%","9.4%","18.6%","42.2%","28.6%","0.77","1.1","0.9%","47.8",2007,NA,NA
"250","St. Louis Cardinals",".271",".336",".431",".768",".297","2.7%","15.0%","8.1%","19.1%","43.2%","27.2%","0.79","-0.7","-1.8%","-77.3",2007,NA,NA
"251","Tampa Bay Devil Rays",".290",".358",".467",".826",".334","3.1%","18.7%","8.9%","20.1%","40.9%","29.1%","0.72","-13.5","-3.4%","-165.5",2007,NA,NA
"252","Texas Rangers",".274",".356",".423",".780",".306","2.4%","15.3%","10.5%","20.4%","46.0%","25.5%","0.88","-6.4","-2.5%","-60.2",2007,NA,NA
"253","Toronto Blue Jays",".251",".315",".391",".706",".283","2.6%","17.5%","7.8%","19.1%","48.7%","23.7%","0.98","6.1","0.1%","91.8",2007,NA,NA
"254","Washington Nationals",".269",".339",".433",".772",".290","3.0%","14.7%","9.2%","19.9%","39.3%","29.2%","0.67","-0.7","-0.4%","-46.8",2007,NA,NA
"255","League Average",".268",".336",".423",".758",".303","2.6%","17.1%","8.5%","19.1%","43.1%","28.0%","0.79","","","",2007,NA,NA
"256","",".268",".336",".423",".758",".303","2.6%","17.1%","8.5%","19.1%","43.1%","28.0%","0.79","","","",2007,NA,NA
"257","Arizona Diamondbacks",".256",".318",".398",".716",".303","2.4%","20.1%","7.4%","18.5%","44.2%","27.2%","0.83","3.3","-0.5%","49.7",2008,NA,NA
"258","Atlanta Braves",".263",".336",".423",".758",".299","2.5%","17.2%","9.4%","16.7%","46.7%","27.8%","0.92","-5.6","-0.2%","-55.0",2008,NA,NA
"259","Baltimore Orioles",".277",".361",".435",".796",".300","2.9%","14.4%","10.7%","18.0%","44.1%","28.9%","0.81","-12.1","-1.2%","-111.5",2008,NA,NA
"260","Boston Red Sox",".250",".323",".390",".713",".292","2.4%","19.2%","8.9%","17.7%","43.2%","29.2%","0.79","9.5","7.4%","98.3",2008,NA,NA
"261","Chicago Cubs",".242",".316",".395",".711",".284","2.6%","20.4%","8.9%","17.1%","41.0%","30.2%","0.72","8.4","5.8%","89.9",2008,NA,NA
"262","Chicago White Sox",".261",".320",".410",".731",".301","2.5%","18.5%","7.4%","17.8%","45.1%","26.7%","0.85","9.7","14.3%","61.5",2008,NA,NA
"263","Cincinnati Reds",".275",".345",".450",".796",".318","3.2%","19.3%","8.8%","20.5%","41.9%","27.5%","0.75","-5.3","-2.0%","-59.5",2008,NA,NA
"264","Cleveland Indians",".273",".330",".424",".754",".303","2.8%","16.0%","7.2%","18.4%","44.2%","28.3%","0.82","-0.6","0.6%","-2.4",2008,NA,NA
"265","Colorado Rockies",".276",".344",".431",".775",".313","2.3%","16.4%","8.9%","19.6%","45.9%","25.2%","0.89","-3.5","-2.0%","-55.0",2008,NA,NA
"266","Detroit Tigers",".274",".353",".437",".791",".304","2.7%","15.5%","10.1%","20.3%","41.8%","27.5%","0.74","-9.4","-2.4%","-87.5",2008,NA,NA
"267","Florida Marlins",".258",".333",".407",".740",".296","2.6%","18.0%","9.3%","19.8%","40.7%","27.6%","0.72","-4.1","-3.7%","-35.1",2008,NA,NA
"268","Houston Astros",".264",".328",".440",".768",".296","3.2%","17.9%","8.0%","16.5%","42.9%","31.3%","0.78","0.4","-3.5%","-30.0",2008,NA,NA
"269","Kansas City Royals",".264",".328",".415",".743",".300","2.6%","17.5%","8.3%","19.7%","41.3%","28.6%","0.72","2.5","0.7%","-18.7",2008,NA,NA
"270","Los Angeles Angels of Anaheim",".261",".323",".406",".729",".299","2.6%","18.0%","7.4%","18.0%","43.8%","28.9%","0.80","14.4","8.9%","82.1",2008,NA,NA
"271","Los Angeles Dodgers",".251",".315",".376",".691",".299","2.0%","19.7%","7.8%","17.4%","48.7%","25.9%","1.00","6.3","7.3%","82.7",2008,NA,NA
"272","Milwaukee Brewers",".256",".323",".406",".729",".289","2.8%","17.9%","8.5%","18.6%","44.0%","27.5%","0.83","3.7","5.8%","46.5",2008,NA,NA
"273","Minnesota Twins",".274",".324",".431",".755",".303","2.9%","16.0%","6.5%","17.8%","41.8%","31.3%","0.74","2.4","5.4%","11.1",2008,NA,NA
"274","New York Mets",".254",".331",".397",".729",".294","2.6%","18.6%","9.3%","19.1%","42.4%","28.0%","0.77","0.9","-1.5%","22.6",2008,NA,NA
"275","New York Yankees",".266",".329",".405",".733",".309","2.3%","18.5%","7.9%","20.1%","45.2%","26.0%","0.85","8.1","2.6%","47.3",2008,NA,NA
"276","Oakland Athletics",".253",".328",".392",".720",".289","2.2%","17.4%","9.4%","19.3%","40.9%","30.4%","0.71","5.5","4.6%","49.2",2008,NA,NA
"277","Philadelphia Phillies",".260",".329",".410",".739",".295","2.6%","17.4%","8.6%","19.8%","44.1%","25.4%","0.83","7.1","7.8%","62.5",2008,NA,NA
"278","Pittsburgh Pirates",".286",".362",".454",".816",".316","2.7%","14.8%","10.1%","19.2%","43.0%","28.7%","0.80","-13.5","-3.3%","-156.2",2008,NA,NA
"279","San Diego Padres",".263",".332",".409",".741",".299","2.6%","17.5%","8.9%","20.1%","41.5%","27.5%","0.75","-5.7","-0.2%","-67.1",2008,NA,NA
"280","Seattle Mariners",".276",".351",".433",".784",".309","2.5%","16.0%","9.8%","20.2%","43.9%","26.7%","0.81","-10.7","-1.5%","-69.6",2008,NA,NA
"281","San Francisco Giants",".258",".341",".404",".745",".305","2.3%","19.6%","10.3%","20.4%","38.0%","31.3%","0.64","-0.8","-0.6%","-19.1",2008,NA,NA
"282","St. Louis Cardinals",".270",".332",".431",".764",".298","2.6%","15.3%","7.9%","20.6%","44.7%","25.8%","0.84","-1.0","-2.0%","8.3",2008,NA,NA
"283","Tampa Bay Rays",".246",".314",".400",".715",".280","2.7%","18.6%","8.6%","19.4%","40.0%","28.9%","0.69","13.6","11.1%","106.6",2008,NA,NA
"284","Texas Rangers",".288",".362",".455",".817",".317","2.7%","14.8%","9.6%","21.2%","42.5%","28.0%","0.76","-11.5","-4.8%","-200.4",2008,NA,NA
"285","Toronto Blue Jays",".244",".309",".380",".689",".286","2.2%","19.5%","7.7%","18.4%","46.1%","26.7%","0.88","12.9","3.4%","146.5",2008,NA,NA
"286","Washington Nationals",".270",".343",".436",".778",".301","3.0%","16.9%","9.3%","19.5%","41.7%","28.9%","0.75","-10.7","-1.1%","-103.4",2008,NA,NA
"287","League Average",".264",".333",".416",".749",".300","2.6%","17.5%","8.7%","19.0%","43.2%","28.1%","0.79","","","",2008,NA,NA
"288","",".264",".333",".416",".749",".300","2.6%","17.5%","8.7%","19.0%","43.2%","28.1%","0.79","","","",2008,NA,NA
"289","Arizona Diamondbacks",".263",".330",".419",".749",".303","2.7%","18.5%","8.4%","19.5%","42.4%","28.6%","0.78","-4.8","-0.7%","-45.7",2009,NA,NA
"290","Atlanta Braves",".254",".323",".390",".713",".305","1.9%","19.9%","8.5%","18.2%","44.8%","28.4%","0.86","8.0","3.0%","85.7",2009,NA,NA
"291","Baltimore Orioles",".288",".353",".476",".828",".309","3.4%","14.7%","8.6%","18.6%","42.2%","30.2%","0.75","-8.7","-1.7%","-102.8",2009,NA,NA
"292","Boston Red Sox",".267",".335",".422",".757",".313","2.7%","19.6%","8.4%","18.5%","40.7%","30.6%","0.71","8.4","9.0%","57.6",2009,NA,NA
"293","Chicago Cubs",".246",".324",".391",".715",".291","2.6%","20.6%","9.5%","16.9%","42.2%","29.6%","0.77","8.4","3.6%","67.8",2009,NA,NA
"294","Chicago White Sox",".261",".325",".414",".739",".297","2.8%","18.2%","8.2%","17.8%","44.1%","28.3%","0.82","6.0","1.2%","58.5",2009,NA,NA
"295","Cincinnati Reds",".258",".333",".418",".751",".287","3.0%","17.1%","9.2%","20.0%","41.5%","28.5%","0.74","4.1","0.5%","4.8",2009,NA,NA
"296","Cleveland Indians",".280",".351",".443",".793",".308","2.9%","15.5%","9.4%","18.9%","42.6%","29.0%","0.77","-11.3","-3.2%","-110.6",2009,NA,NA
"297","Colorado Rockies",".261",".328",".405",".733",".304","2.3%","18.7%","8.6%","19.6%","46.3%","25.3%","0.91","8.5","8.7%","42.7",2009,NA,NA
"298","Detroit Tigers",".263",".336",".422",".759",".296","2.9%","17.7%","9.5%","20.2%","42.4%","27.9%","0.76","6.1","3.0%","34.5",2009,NA,NA
"299","Florida Marlins",".257",".333",".408",".741",".304","2.5%","19.8%","9.5%","19.9%","42.3%","28.0%","0.77","-1.6","-2.4%","-37.0",2009,NA,NA
"300","Houston Astros",".275",".344",".440",".784",".317","2.8%","18.3%","8.8%","16.6%","45.3%","28.8%","0.87","-4.8","-2.0%","-63.7",2009,NA,NA
"301","Kansas City Royals",".269",".343",".422",".765",".310","2.7%","18.4%","9.6%","18.4%","43.0%","29.1%","0.79","-7.1","-1.4%","-86.7",2009,NA,NA
"302","Los Angeles Angels of Anaheim",".272",".338",".432",".770",".305","2.9%","17.0%","8.4%","17.1%","41.4%","31.4%","0.73","4.2","2.1%","9.7",2009,NA,NA
"303","Los Angeles Dodgers",".233",".312",".361",".673",".280","2.1%","20.6%","9.5%","17.3%","42.9%","27.8%","0.79","9.3","7.5%","106.5",2009,NA,NA
"304","Milwaukee Brewers",".268",".345",".450",".795",".299","3.3%","17.4%","9.6%","18.6%","42.0%","29.7%","0.76","-9.2","-5.4%","-108.9",2009,NA,NA
"305","Minnesota Twins",".272",".331",".431",".762",".303","3.0%","16.8%","7.4%","17.5%","41.1%","30.8%","0.71","2.8","3.4%","7.9",2009,NA,NA
"306","New York Mets",".264",".342",".418",".759",".297","2.5%","16.4%","9.8%","19.5%","41.8%","27.7%","0.75","-6.9","-1.9%","-56.3",2009,NA,NA
"307","New York Yankees",".251",".327",".408",".734",".292","2.9%","20.2%","9.2%","19.6%","42.5%","28.3%","0.76","9.4","5.9%","48.2",2009,NA,NA
"308","Oakland Athletics",".265",".329",".413",".742",".304","2.5%","18.0%","8.4%","18.2%","43.7%","29.1%","0.80","0.7","0.1%","8.9",2009,NA,NA
"309","Philadelphia Phillies",".265",".329",".427",".757",".300","3.0%","18.4%","7.8%","19.7%","40.2%","28.6%","0.70","-0.4","1.8%","18.7",2009,NA,NA
"310","Pittsburgh Pirates",".276",".346",".442",".788",".305","2.5%","15.0%","9.2%","17.1%","43.4%","29.9%","0.80","-10.2","-1.3%","-67.9",2009,NA,NA
"311","San Diego Padres",".258",".333",".406",".739",".298","2.7%","18.9%","9.6%","18.5%","42.4%","29.2%","0.77","-4.6","-2.0%","-80.6",2009,NA,NA
"312","Seattle Mariners",".247",".316",".394",".710",".274","2.8%","16.9%","8.7%","20.0%","40.9%","29.9%","0.71","9.2","3.3%","64.5",2009,NA,NA
"313","San Francisco Giants",".236",".314",".372",".686",".284","2.3%","21.3%","9.6%","18.5%","42.1%","28.8%","0.77","13.6","10.0%","111.9",2009,NA,NA
"314","St. Louis Cardinals",".258",".319",".386",".706",".296","2.0%","17.2%","7.6%","18.6%","49.1%","22.8%","1.02","6.9","5.7%","68.9",2009,NA,NA
"315","Tampa Bay Rays",".257",".324",".417",".741",".291","3.0%","18.3%","8.4%","20.9%","40.8%","29.2%","0.71","0.8","0.8%","10.6",2009,NA,NA
"316","Texas Rangers",".260",".331",".416",".747",".289","2.8%","16.5%","8.6%","20.7%","42.5%","27.4%","0.76","6.3","6.9%","46.6",2009,NA,NA
"317","Toronto Blue Jays",".270",".339",".434",".772",".310","2.9%","18.8%","8.8%","20.1%","44.4%","27.3%","0.82","-2.0","1.1%","8.6",2009,NA,NA
"318","Washington Nationals",".276",".352",".450",".802",".302","2.7%","14.4%","9.9%","20.6%","43.6%","26.3%","0.81","-17.8","-3.7%","-167.9",2009,NA,NA
"319","League Average",".262",".333",".418",".751",".299","2.7%","18.0%","8.9%","18.9%","42.8%","28.6%","0.78","","","",2009,NA,NA
"320","",".262",".333",".418",".751",".299","2.7%","18.0%","8.9%","18.9%","42.8%","28.6%","0.78","","","",2009,NA,NA
"321","Arizona Diamondbacks",".271",".340",".448",".788",".300","3.4%","17.1%","8.8%","19.7%","40.8%","29.7%","0.72","-11.2","-3.9%","-122.4",2010,NA,NA
"322","Atlanta Braves",".246",".314",".376",".690",".295","2.1%","20.5%","8.3%","17.0%","48.4%","26.2%","0.99","4.9","8.5%","61.7",2010,NA,NA
"323","Baltimore Orioles",".270",".336",".434",".770",".298","3.0%","16.1%","8.3%","17.8%","41.5%","30.9%","0.73","-7.4","-2.0%","-75.7",2010,NA,NA
"324","Boston Red Sox",".253",".327",".399",".726",".295","2.4%","19.3%","9.3%","18.9%","42.9%","28.5%","0.78","0.7","0.9%","-2.8",2010,NA,NA
"325","Chicago Cubs",".255",".334",".398",".732",".303","2.5%","20.1%","9.6%","18.5%","42.4%","29.1%","0.77","3.5","0.0%","-54.2",2010,NA,NA
"326","Chicago White Sox",".264",".325",".395",".720",".308","2.2%","18.6%","7.9%","18.7%","44.1%","28.1%","0.82","2.7","-0.1%","21.3",2010,NA,NA
"327","Cincinnati Reds",".254",".323",".396",".719",".292","2.6%","18.3%","8.5%","19.3%","42.7%","28.6%","0.77","3.5","3.1%","28.5",2010,NA,NA
"328","Cleveland Indians",".269",".342",".416",".758",".300","2.4%","15.5%","9.2%","18.3%","47.5%","26.6%","0.93","-6.0","-2.4%","-64.6",2010,NA,NA
"329","Colorado Rockies",".257",".326",".397",".724",".307","2.3%","20.1%","8.6%","21.1%","45.3%","24.2%","0.87","3.8","1.1%","30.6",2010,NA,NA
"330","Detroit Tigers",".262",".332",".400",".732",".299","2.3%","17.0%","8.7%","19.7%","43.4%","27.3%","0.79","-3.2","-2.0%","-25.1",2010,NA,NA
"331","Florida Marlins",".261",".331",".398",".728",".306","2.2%","18.8%","8.8%","19.0%","42.8%","28.1%","0.79","-1.3","-2.2%","-8.3",2010,NA,NA
